Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value currency,Value amount
123456789,1,2016-01-21 03:31:46,"Bought BTC 0.99579 for ZAR 7,500.00",XBT,0.99579,0.99579,0.99579,0.99579,,,ZAR,7500
123456789,2,2016-01-24 08:42:58,"Bought BTC 1.37329 for ZAR 10,000.00",XBT,1.37329,1.37329,2.36908,2.36908,,,ZAR,10000
123456789,3,2016-06-22 04:45:28,"Bought 0.073002 BTC/ZAR @ 10,700",XBT,0.073002,0.073002,2.442082,2.442082,,,ZAR,781.12
123456789,4,2016-06-22 04:58:56,"Bought 0.38 BTC/ZAR @ 10,705",XBT,0.38,0.3762,2.822082,2.818282,,,ZAR,4067.9
123456789,5,2016-06-22 04:58:56,Trading fee,XBT,-0.0038,0,2.818282,2.818282,,,ZAR,40.79
123456789,6,2016-12-05 05:25:21,"Bought BTC 1.74346 for ZAR 20,000.00",XBT,1.74346,1.74346,4.561742,4.561742,,,ZAR,20000
123456789,8,2017-01-16 04:54:50,To Buy Ether,XBT,-1,0,3.561742,3.561742,,KNOWN123,ZAR,12051
123456789,9,2017-01-18 04:35:02,"Bought 0.244261 BTC/ZAR @ 12,899",XBT,0.244261,0.241819,3.806003,3.803561,,,ZAR,3150.72
123456789,10,2017-01-18 04:35:02,Trading fee,XBT,-0.002442,0,3.803561,3.803561,,,ZAR,31.49
123456789,12,2017-01-19 15:39:07,Sent Bitcoin to KNOWN123,XBT,-0.0285,0,3.775061,3.775061,,KNOWN123,ZAR,362.26
123456789,14,2017-01-22 06:30:26,Sent Bitcoin to KNOWN234,XBT,-0.0283,0,3.746761,3.746761,,KNOWN234,ZAR,367.67
123456789,16,2017-03-02 05:31:29,Sent Bitcoin to KNOWN123,XBT,-1,0,2.746761,2.746561,,KNOWN123,ZAR,16616
123456789,118,2021-01-08 11:59:20,"Sold BTC 0.08 for ZAR 50,814.27",XBT,-0.08,-0.08,0.32008057,0.32008057,,,ZAR,50814.27
123456789,122,2021-04-22 10:19:03,Received Bitcoin,XBT,0.09034,0.09034,0.66950057,0.66950057,,,ZAR,72311.2
123456789,123,2021-04-29 13:03:53,Received Bitcoin,XBT,0.09093,0.09093,0.76043057,0.76043057,,,ZAR,73098.99
123456789,124,2021-04-30 15:29:13,"Sold BTC 0.76043057 for ZAR 627,897.92",XBT,-0.76043057,-0.76043057,0,0,,,ZAR,627897.92
123456789,131,2021-05-16 18:31:55,"Sold BTC 0.52295337 for ZAR 350,000.00",XBT,-0.52295337,-0.52295337,0.01166663,0.01166663,,,ZAR,350000
123456789,135,2021-08-26 07:22:02,Sent Bitcoin to KNOWN234,XBT,-0.00072384,0,0.18967279,0.18966393,,KNOWN234,ZAR,520.37
123456789,147,2022-05-14 18:57:50,Happy Birthday,XBT,-0.00101206,0,0.18684045,0.18681718,,UNKNOWN,ZAR,494.67
123456789,148,2022-05-14 18:57:50,Bitcoin send fee,XBT,-0.00002327,0,0.18681718,0.18681718,,UNKNOWN,ZAR,11.37
