Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value currency,Value amount
123456789,1,2016-01-21 03:31:46,"Bought BTC 0.99579 for ZAR 7,500.00",XBT,0.99579,0.99579,0.99579,0.99579,,,ZAR,7500
123456789,2,2016-01-24 08:42:58,"Bought BTC 1.37329 for ZAR 10,000.00",XBT,1.37329,1.37329,2.36908,2.36908,,,ZAR,10000
123456789,3,2016-06-22 04:45:28,"Bought 0.073002 BTC/ZAR @ 10,700",XBT,0.073002,0.073002,2.442082,2.442082,,,ZAR,781.12
123456789,4,2016-06-22 04:58:56,"Bought 0.38 BTC/ZAR @ 10,705",XBT,0.38,0.3762,2.822082,2.818282,,,ZAR,4067.9
123456789,5,2016-06-22 04:58:56,Trading fee,XBT,-0.0038,0,2.818282,2.818282,,,ZAR,40.79
123456789,6,2016-12-05 05:25:21,"Bought BTC 1.74346 for ZAR 20,000.00",XBT,1.74346,1.74346,4.561742,4.561742,,,ZAR,20000
123456789,8,2017-01-16 04:54:50,To Buy Ether,XBT,-1,0,3.561742,3.561742,,,ZAR,12051
123456789,9,2017-01-18 04:35:02,"Bought 0.244261 BTC/ZAR @ 12,899",XBT,0.244261,0.241819,3.806003,3.803561,,,ZAR,3150.72
123456789,10,2017-01-18 04:35:02,Trading fee,XBT,-0.002442,0,3.803561,3.803561,,,ZAR,31.49
123456789,12,2017-01-19 15:39:07,Sent Bitcoin to 35iNTkBB5xYbY3JAWQGjwwV8vr3sny457Q,XBT,-0.0285,0,3.775061,3.775061,,,ZAR,362.26
123456789,14,2017-01-22 06:30:26,Sent Bitcoin to 35WaKALoQL6H7doARUo4g7aPd18icrgdXH,XBT,-0.0283,0,3.746761,3.746761,,,ZAR,367.67
123456789,16,2017-03-02 05:31:29,Sent Bitcoin to 37Y28oc4bcgZvwQrAjkpBC2CVJJc4iPWeN,XBT,-1,0,2.746761,2.746561,,,ZAR,16616
123456789,17,2017-03-02 05:31:29,Bitcoin send fee,XBT,-0.0002,0,2.746561,2.746561,,,ZAR,3.32
123456789,19,2017-03-12 14:31:27,Payment request for BitPay invoice Ny5Bwc1SBCYf6kRAdrVF1L for merchant XT Network,XBT,-0.008035,0,2.738526,2.738326,,,ZAR,133.18
123456789,20,2017-03-12 14:31:27,Bitcoin send fee,XBT,-0.0002,0,2.738326,2.738326,,,ZAR,3.31
123456789,22,2017-03-16 07:14:31,Sent Bitcoin to 37Y28oc4bcgZvwQrAjkpBC2CVJJc4iPWeN,XBT,-1,0,1.738326,1.738126,,,ZAR,17089
